"","Transect","Year","YMD","Area","AreaYear","Count"
"1","HH50","2018","2018-05-30","Piers 5-7","Piers 5-7-2018",2
"2","HH50","2018","2018-06-26","Piers 5-7","Piers 5-7-2018",2
"3","HH50","2018","2018-08-09","Piers 5-7","Piers 5-7-2018",8
"4","HH50","2018","2018-10-11","Piers 5-7","Piers 5-7-2018",6
"5","HH50","2019","2019-05-21","Piers 5-7","Piers 5-7-2019",9
"6","HH50","2019","2019-06-17","Piers 5-7","Piers 5-7-2019",6
"7","HH50","2019","2019-07-17","Piers 5-7","Piers 5-7-2019",2
"8","HH50","2019","2019-08-20","Piers 5-7","Piers 5-7-2019",4
"9","HH50","2019","2019-10-16","Piers 5-7","Piers 5-7-2019",7
"10","HH50","2020","2020-07-16","Piers 5-7","Piers 5-7-2020",1
"11","HH50","2020","2020-09-23","Piers 5-7","Piers 5-7-2020",11
"12","HH50","2020","2020-10-21","Piers 5-7","Piers 5-7-2020",5
"13","HH50","2021","2021-07-28","Piers 5-7","Piers 5-7-2021",1
"14","HH50","2021","2021-08-24","Piers 5-7","Piers 5-7-2021",5
"15","HH50","2021","2021-10-20","Piers 5-7","Piers 5-7-2021",8
"16","HH50","2022","2022-08-03","Piers 5-7","Piers 5-7-2022",4
"17","HH50","2022","2022-10-24","Piers 5-7","Piers 5-7-2022",7
"18","HH50","2023","2023-05-10","Piers 5-7","Piers 5-7-2023",3
"19","HH50","2023","2023-10-03","Piers 5-7","Piers 5-7-2023",13
"20","HH51","2018","2018-05-30","Piers 5-7","Piers 5-7-2018",4
"21","HH51","2018","2018-06-26","Piers 5-7","Piers 5-7-2018",3
"22","HH51","2018","2018-08-09","Piers 5-7","Piers 5-7-2018",6
"23","HH51","2018","2018-10-11","Piers 5-7","Piers 5-7-2018",9
"24","HH51","2019","2019-05-21","Piers 5-7","Piers 5-7-2019",6
"25","HH51","2019","2019-06-17","Piers 5-7","Piers 5-7-2019",6
"26","HH51","2019","2019-07-17","Piers 5-7","Piers 5-7-2019",3
"27","HH51","2019","2019-08-20","Piers 5-7","Piers 5-7-2019",4
